FIR_REG_NUM,CHARGESHEET_OR_NOT,CHARGESHEET_DT,FR_TYPE,COURT_DISPOSAL,DISPOSAL_DT
UP2024043300106,Y,2024-07-11,,,
UP2023146300064,Y,2023-05-27,,Convicted,2024-03-10
UP2024112800159,N,2024-10-25,A-Summary,,
UP2024083100124,N,2025-10-29,C-Summary,,
UP2025058500071,Y,2026-03-10,,Pending Trial,
UP2025074100149,Y,2025-05-05,,Pending Trial,
UP2025048100141,N,2026-03-03,A-Summary,,
UP2025098600163,N,2025-05-12,A-Summary,,
UP2024120200152,N,2025-02-17,A-Summary,,
UP2024119800186,N,2025-08-22,B-Summary,,
UP2024147200259,Y,2024-06-01,,,
UP2023002700081,N,2023-10-15,C-Summary,,
UP2024129600027,Y,2024-06-13,,Convicted,2025-08-18
UP2023105600045,N,2024-09-16,B-Summary,,
UP2024045100078,Y,2024-11-20,,,
UP2023098100057,Y,2023-11-28,,Pending Trial,
UP2023149500198,N,2023-05-26,C-Summary,,
UP2024003600083,N,2025-03-19,A-Summary,,
UP2023145900089,N,2023-09-14,A-Summary,,
UP2023051300139,Y,2023-09-21,,,
UP2025148000331,N,2026-02-06,A-Summary,,
UP2023016200131,Y,2023-10-23,,,
UP2025148300175,N,2026-06-30,C-Summary,,
UP2025126600050,N,2026-06-30,A-Summary,,
UP2024056500186,N,2025-03-08,C-Summary,,
UP2023121700139,Y,2023-09-25,,,
UP2023063100078,N,2023-10-30,A-Summary,,
UP2025049500110,N,2026-03-31,A-Summary,,
UP2025136300041,Y,2026-01-20,,,
UP2023147400112,N,2023-11-24,A-Summary,,
UP2024086400033,Y,2024-07-16,,Pending Trial,
UP2025148500307,Y,2025-07-01,,,
UP2025096700131,N,2025-09-25,C-Summary,,
UP2023056800108,Y,2023-12-25,,Pending Trial,
UP2025005200210,N,2025-12-20,C-Summary,,
UP2025020100246,Y,2025-09-13,,Pending Trial,
UP2025051400078,Y,2025-08-17,,Pending Trial,
UP2024104800214,N,2025-05-08,A-Summary,,
UP2023082300095,N,2023-07-19,A-Summary,,
UP2024090000101,N,2024-12-21,C-Summary,,
UP2024031900040,Y,2024-03-25,,,
UP2025085300165,N,2025-10-15,A-Summary,,
UP2024027300104,Y,2024-04-30,,Acquitted,2025-04-17
UP2025056500185,Y,2025-10-29,,Pending Trial,
UP2023088100024,Y,2023-05-16,,,
UP2025026300033,Y,2025-09-11,,,
UP2025071600014,N,2026-03-13,C-Summary,,
UP2023020700030,N,2024-05-15,C-Summary,,
UP2023096100063,N,2023-12-15,B-Summary,,
UP2024077300041,N,2024-08-25,C-Summary,,
UP2024122800165,Y,2025-01-08,,,
UP2024144400095,N,2024-09-05,A-Summary,,
UP2023060400126,N,2024-01-12,B-Summary,,
UP2023002300103,N,2024-06-23,C-Summary,,
UP2025060000150,N,2025-09-01,A-Summary,,
UP2024113300167,Y,2024-10-15,,,
UP2023051000111,Y,2024-04-30,,,
UP2025097000138,N,2026-06-30,B-Summary,,
UP2025062100164,N,2025-06-28,C-Summary,,
UP2023035100061,Y,2024-01-17,,,
UP2025004200095,Y,2025-06-18,,Pending Trial,
UP2024110000164,Y,2025-05-11,,Pending Trial,
UP2024057500192,Y,2024-11-26,,,
UP2023003900106,Y,2023-07-10,,Pending Trial,
UP2025111300102,N,2026-01-28,A-Summary,,
UP2025063300146,N,2026-02-10,B-Summary,,
UP2025037200031,Y,2026-01-19,,Acquitted,2026-06-01
UP2023092000019,Y,2024-02-29,,,
UP2025120800157,N,2026-06-30,A-Summary,,
UP2024114800183,Y,2025-01-12,,,
UP2025099800101,N,2025-07-04,B-Summary,,
UP2023040600005,Y,2024-02-09,,Pending Trial,
UP2025056800172,N,2026-02-21,A-Summary,,
UP2024118200118,N,2025-11-25,B-Summary,,
UP2025005200211,N,2025-10-31,A-Summary,,
UP2025128000252,Y,2025-12-04,,Pending Trial,
UP2024096300096,Y,2024-10-23,,Convicted,2026-04-02
UP2023081800122,Y,2023-05-28,,,
UP2025060800278,Y,2025-10-26,,,
UP2025002800139,Y,2025-08-09,,,
UP2024056800139,Y,2025-02-21,,,
UP2025063700050,N,2026-01-28,A-Summary,,
UP2024104800215,Y,2024-08-20,,Acquitted,2025-05-31
UP2023004900129,Y,2023-03-29,,Pending Trial,
UP2025044900136,Y,2025-09-08,,,
UP2023002400060,N,2024-01-10,A-Summary,,
UP2025020600054,N,2025-08-27,A-Summary,,
UP2025001800142,N,2026-02-20,A-Summary,,
UP2024147300283,N,2025-07-27,A-Summary,,
UP2025003100178,N,2026-06-17,A-Summary,,
UP2024141100043,N,2025-02-12,C-Summary,,
UP2025117000120,N,2026-05-31,A-Summary,,
UP2023062700093,N,2024-01-28,A-Summary,,
UP2025119600027,Y,2025-06-02,,,
UP2025136300042,N,2026-05-22,A-Summary,,
UP2025023400035,N,2025-12-18,A-Summary,,
UP2024055100149,N,2025-07-08,C-Summary,,
UP2024061300049,Y,2024-12-12,,,
UP2025148700284,N,2026-06-01,A-Summary,,
UP2024051300198,Y,2024-06-03,,Pending Trial,
UP2024090600016,Y,2024-07-22,,,
UP2023047500083,Y,2023-08-11,,,
UP2024148100194,Y,2025-02-13,,Pending Trial,
UP2025070900048,Y,2025-09-21,,,
UP2023084100155,N,2023-10-16,C-Summary,,
UP2023020300125,N,2024-11-06,B-Summary,,
UP2025140100241,N,2025-12-22,A-Summary,,
UP2025045900142,Y,2026-04-04,,,
UP2023043700079,N,2023-08-08,B-Summary,,
UP2024051100248,N,2025-05-31,A-Summary,,
UP2024089700090,N,2025-07-05,A-Summary,,
UP2023120400125,Y,2024-01-02,,,
UP2025133200139,N,2026-06-30,A-Summary,,
UP2023085200098,N,2024-11-18,A-Summary,,
UP2023107800087,N,2024-03-17,A-Summary,,
UP2025092200044,Y,2025-06-30,,Pending Trial,
UP2024104700143,Y,2024-11-19,,,
UP2023080800011,Y,2023-08-25,,,
UP2024016100104,N,2025-07-02,A-Summary,,
UP2023019800125,N,2023-03-24,C-Summary,,
UP2023022200073,N,2024-01-09,B-Summary,,
UP2023132900083,N,2023-10-09,B-Summary,,
UP2024019800148,Y,2024-10-14,,,
UP2023082000083,Y,2023-12-30,,,
UP2024016000205,Y,2024-05-08,,,
UP2025109000178,N,2025-06-19,B-Summary,,
UP2024026000095,N,2025-07-29,A-Summary,,
UP2025083800158,N,2025-08-31,B-Summary,,
UP2025121200225,N,2026-06-30,C-Summary,,
UP2023119800127,Y,2024-02-22,,Pending Trial,
UP2025084800147,Y,2026-04-11,,,
UP2025069500261,Y,2025-06-04,,Pending Trial,
UP2024057300155,N,2025-04-01,A-Summary,,
UP2024105200223,Y,2024-04-29,,Pending Trial,
UP2025056500186,N,2026-04-01,B-Summary,,
UP2025000400119,N,2026-04-04,B-Summary,,
UP2023139900176,Y,2024-01-11,,Convicted,2025-06-28
UP2023053900131,Y,2024-01-22,,,
UP2024003600084,N,2024-05-16,A-Summary,,
UP2023123800055,N,2024-04-20,C-Summary,,
UP2025080500133,Y,2025-10-02,,Pending Trial,
UP2023105100128,Y,2023-12-12,,,
UP2025132600167,N,2025-11-21,A-Summary,,
UP2024033100065,N,2024-12-04,C-Summary,,
UP2024086400034,N,2024-12-09,A-Summary,,
UP2024001600093,Y,2024-11-20,,,
UP2025046200139,N,2026-03-22,C-Summary,,
UP2023121300104,N,2024-06-21,C-Summary,,
UP2024051300199,Y,2025-01-09,,,
UP2023074400097,Y,2023-06-24,,,
UP2024095900126,N,2024-05-09,A-Summary,,
UP2025048200036,N,2025-10-02,C-Summary,,
UP2024086200024,Y,2024-07-13,,Pending Trial,
UP2024056000190,Y,2025-03-13,,Convicted,2026-05-16
UP2024070400037,N,2024-05-24,A-Summary,,
UP2025053700216,N,2025-10-09,A-Summary,,
UP2025090000119,N,2026-06-30,A-Summary,,
UP2024046500127,N,2025-07-05,A-Summary,,
UP2023002500104,N,2023-08-13,A-Summary,,
UP2024122300110,Y,2024-12-14,,Discharged,2025-07-25
UP2024104300230,Y,2024-04-28,,,
UP2023109200122,N,2024-04-15,B-Summary,,
UP2024060100127,N,2025-01-26,B-Summary,,
UP2024038200067,Y,2024-06-20,,Pending Trial,
UP2024006500097,N,2024-09-12,A-Summary,,
UP2024050600173,Y,2024-04-29,,,
UP2025004900193,N,2026-01-10,C-Summary,,
UP2023144000128,Y,2024-01-21,,,
UP2025144200238,N,2026-06-30,C-Summary,,
UP2023056200103,Y,2024-04-28,,,
UP2024033100066,N,2024-08-12,C-Summary,,
UP2025004100187,Y,2025-06-06,,Pending Trial,
UP2023082800112,Y,2023-07-27,,Pending Trial,
UP2025085500164,Y,2025-06-18,,Acquitted,2026-06-30
UP2024081200026,Y,2024-09-05,,Convicted,2025-09-29
UP2024089400052,N,2024-11-02,C-Summary,,
UP2024029500072,N,2025-05-15,A-Summary,,
UP2024053500186,Y,2025-02-01,,Acquitted,2025-09-05
UP2025004100188,Y,2026-04-27,,Acquitted,2026-06-30
UP2024109800102,N,2025-02-13,C-Summary,,
UP2024143900164,Y,2025-03-22,,,
UP2025039400041,Y,2026-01-10,,,
UP2025015800178,N,2026-02-16,A-Summary,,
UP2025108100174,N,2026-05-16,A-Summary,,
UP2024097900082,N,2025-01-12,A-Summary,,
UP2023004600099,N,2023-10-07,A-Summary,,
UP2025116900108,Y,2025-05-30,,,
UP2024144500144,N,2025-06-19,A-Summary,,
UP2025139900294,Y,2026-01-29,,,
UP2024111200085,N,2025-04-11,A-Summary,,
UP2024099500108,Y,2024-11-02,,,
UP2024112600094,Y,2024-12-09,,,
UP2024020100209,N,2024-05-04,A-Summary,,
UP2023062100096,N,2024-10-20,A-Summary,,
UP2025076600176,Y,2026-04-23,,Pending Trial,
UP2024015600113,Y,2024-12-25,,,
UP2025104400222,N,2025-12-10,A-Summary,,
UP2023124200055,Y,2023-05-13,,,
UP2025022500076,Y,2025-05-13,,Pending Trial,
UP2025053100334,Y,2025-11-01,,,
UP2023055900101,N,2024-07-12,C-Summary,,
UP2023118400047,Y,2024-01-23,,Pending Trial,
UP2025037700104,N,2026-05-23,B-Summary,,
UP2025112700113,Y,2025-03-10,,,
UP2023020200095,N,2024-01-31,B-Summary,,
UP2024113500033,Y,2025-03-01,,,
UP2024118700119,Y,2024-08-31,,,
UP2024135400028,N,2025-05-11,A-Summary,,
UP2024016000206,Y,2024-12-10,,Pending Trial,
UP2024096000114,N,2025-06-11,B-Summary,,
UP2025124100093,Y,2025-12-06,,Pending Trial,
UP2025123500125,N,2026-06-30,C-Summary,,
UP2024029600126,Y,2024-06-06,,Pending Trial,
UP2025061600049,N,2026-06-30,A-Summary,,
UP2024083000163,N,2025-03-18,A-Summary,,
UP2023029400062,Y,2023-07-26,,Pending Trial,
UP2025036600104,N,2026-06-26,C-Summary,,
UP2025049300172,N,2025-12-22,A-Summary,,
UP2023147200171,N,2024-04-30,B-Summary,,
UP2024147600269,N,2025-11-24,A-Summary,,
UP2023045000078,N,2023-12-07,A-Summary,,
UP2024110300166,Y,2025-02-28,,Pending Trial,
UP2024144100186,Y,2025-02-06,,Acquitted,2026-06-30
UP2024098800115,N,2025-02-05,C-Summary,,
UP2024075800051,Y,2024-08-10,,Pending Trial,
UP2023144500137,N,2023-12-21,C-Summary,,
UP2024009800012,Y,2024-06-15,,Pending Trial,
UP2023001500103,N,2023-12-07,C-Summary,,
UP2023085000073,N,2024-10-29,C-Summary,,
UP2024004400161,N,2024-09-27,A-Summary,,
UP2023018300022,N,2023-08-21,A-Summary,,
UP2025004900194,N,2026-02-10,B-Summary,,
UP2023092300014,Y,2024-01-19,,Convicted,2025-05-20
UP2025069600061,Y,2026-05-29,,Acquitted,2026-06-30
UP2023054900168,N,2024-04-27,A-Summary,,
UP2025104600242,N,2025-07-28,C-Summary,,
UP2023100100079,N,2024-04-24,B-Summary,,
UP2023052400024,Y,2023-04-30,,,
UP2025035400029,N,2025-07-01,C-Summary,,
UP2025132500266,N,2025-06-09,A-Summary,,
UP2024069000238,N,2025-08-02,C-Summary,,
UP2024076300146,N,2025-01-22,B-Summary,,
UP2025007400113,Y,2026-02-26,,Pending Trial,
UP2024059800208,N,2024-04-14,A-Summary,,
UP2024121700179,Y,2024-07-19,,,
UP2025109700127,N,2026-02-21,B-Summary,,
UP2025051300212,N,2026-06-30,A-Summary,,
UP2024004200089,N,2025-01-07,A-Summary,,
UP2023097300089,N,2023-08-25,A-Summary,,
UP2023056000125,Y,2023-07-15,,Pending Trial,
UP2023069200089,Y,2023-08-17,,Acquitted,2024-06-09
UP2024120000142,N,2024-11-18,A-Summary,,
UP2025133900050,Y,2025-08-13,,Pending Trial,
UP2025028200039,N,2026-06-06,A-Summary,,
UP2024121100184,N,2024-10-05,B-Summary,,
UP2024052900162,N,2024-09-05,C-Summary,,
UP2024050600174,Y,2024-07-15,,,
UP2024048100125,Y,2025-01-28,,,
UP2023062100097,Y,2024-02-08,,Pending Trial,
UP2025128800050,Y,2025-08-25,,Convicted,2026-06-30
UP2025147600309,Y,2026-02-27,,Pending Trial,
UP2025118300093,N,2025-12-26,A-Summary,,
UP2023072700013,Y,2023-04-24,,Acquitted,2024-07-26
UP2023020200096,N,2023-11-10,A-Summary,,
UP2024022100071,N,2025-03-01,A-Summary,,
UP2024003100145,N,2025-02-07,A-Summary,,
UP2023114900128,Y,2024-01-05,,,
UP2024103200033,Y,2024-02-07,,Pending Trial,
UP2023119900082,N,2023-10-15,C-Summary,,
UP2024007100088,Y,2024-06-14,,Pending Trial,
UP2025120600174,N,2026-01-07,A-Summary,,
UP2024141200062,Y,2025-02-21,,Pending Trial,
UP2024045300029,N,2024-11-27,C-Summary,,
UP2025097600098,N,2025-12-08,B-Summary,,
UP2025051300213,Y,2026-03-06,,Acquitted,2026-06-30
UP2023104300212,N,2024-06-27,B-Summary,,
UP2024121400143,N,2025-05-01,B-Summary,,
UP2024052900163,N,2025-03-13,C-Summary,,
UP2023145700082,Y,2024-02-27,,Pending Trial,
UP2025004600126,N,2026-06-30,C-Summary,,
UP2023106200051,Y,2023-07-09,,,
UP2025002100131,Y,2026-06-05,,Pending Trial,
UP2024120200153,Y,2024-12-18,,,
UP2024049400115,Y,2024-11-20,,,
UP2024147100152,Y,2024-11-21,,Pending Trial,
UP2025073800171,Y,2025-07-29,,Pending Trial,
UP2025057800198,Y,2025-06-20,,,
UP2024149600194,N,2025-03-15,B-Summary,,
UP2024116700097,Y,2024-07-07,,Acquitted,2025-02-11
UP2023062800079,N,2024-07-02,A-Summary,,
UP2023141900105,N,2024-06-07,A-Summary,,
UP2024084300107,Y,2024-08-20,,Pending Trial,
UP2024104800216,N,2025-05-21,A-Summary,,
UP2025055900155,N,2025-10-10,C-Summary,,
UP2025108100175,Y,2026-01-30,,Pending Trial,
UP2023042400012,Y,2023-09-03,,Pending Trial,
UP2024018400050,Y,2024-05-18,,,
UP2024016700034,N,2025-05-18,C-Summary,,
UP2024043500122,N,2024-03-19,C-Summary,,
UP2023070400038,N,2024-03-12,A-Summary,,
UP2025003600116,N,2025-08-08,A-Summary,,
UP2023079300013,Y,2024-07-30,,Acquitted,2025-03-09
UP2024049400116,Y,2024-12-31,,Pending Trial,
UP2024148400233,N,2024-12-01,A-Summary,,
UP2023086900003,Y,2023-07-11,,,
UP2025058400097,Y,2025-07-21,,Pending Trial,
UP2025046500164,N,2026-02-24,A-Summary,,
UP2023109700096,N,2023-12-28,B-Summary,,
UP2024109900167,N,2024-11-20,C-Summary,,
UP2025133000313,Y,2025-09-27,,Pending Trial,
UP2025099200113,Y,2025-09-21,,Pending Trial,
UP2023145800088,Y,2023-12-28,,,
UP2024122900196,N,2024-12-17,C-Summary,,
UP2024000500105,N,2025-06-09,B-Summary,,
UP2025080000138,Y,2025-08-27,,,
UP2024055000170,N,2024-11-03,A-Summary,,
UP2023034700060,N,2023-09-04,A-Summary,,
UP2025122500211,Y,2025-10-24,,Pending Trial,
UP2024051500041,Y,2025-01-10,,,
UP2025144200239,N,2025-06-22,C-Summary,,
UP2023062900134,N,2023-06-28,B-Summary,,
UP2025029600162,N,2026-04-17,A-Summary,,
UP2025003900152,N,2025-02-26,C-Summary,,
UP2024006500098,Y,2024-03-16,,Pending Trial,
UP2025002300164,Y,2025-10-19,,,
UP2023097900061,N,2023-06-21,B-Summary,,
UP2023053400175,N,2023-10-09,A-Summary,,
UP2024079800105,N,2025-05-02,A-Summary,,
UP2025003800093,N,2026-03-16,B-Summary,,
UP2025110500200,Y,2025-11-08,,Pending Trial,
UP2023054700167,Y,2024-04-21,,,
UP2025017900034,Y,2026-02-04,,,
UP2023118100081,N,2024-02-27,B-Summary,,
UP2023008700018,Y,2024-02-12,,Acquitted,2025-01-18
UP2025028600156,N,2026-01-25,A-Summary,,
UP2025084400181,N,2026-05-20,C-Summary,,
UP2025147900276,Y,2025-06-10,,,
UP2024043900021,Y,2024-06-27,,,
UP2024073800127,N,2025-09-04,A-Summary,,
UP2024027500112,Y,2024-06-14,,Pending Trial,
UP2025083200111,N,2025-08-15,B-Summary,,
UP2023138300019,N,2024-03-29,B-Summary,,
UP2024062700112,Y,2024-07-16,,Pending Trial,
UP2024147200260,N,2024-09-20,B-Summary,,
UP2025053700217,N,2025-11-07,B-Summary,,
UP2025110600245,Y,2025-05-22,,Pending Trial,
UP2023134200041,Y,2024-05-23,,,
UP2023112400127,Y,2024-04-30,,,
UP2025003800094,Y,2025-07-28,,Pending Trial,
UP2023050500108,Y,2023-12-25,,Pending Trial,
UP2025123800095,Y,2025-08-25,,,
UP2023121600162,N,2023-12-05,A-Summary,,
UP2024061900031,N,2024-09-11,A-Summary,,
UP2025046400147,N,2025-11-02,B-Summary,,
UP2024038600014,Y,2025-02-06,,,
UP2025083200112,N,2025-09-07,A-Summary,,
UP2025119800192,Y,2026-03-22,,,
UP2024050400161,N,2025-06-13,C-Summary,,
UP2023076800116,N,2023-06-14,A-Summary,,
UP2024096400072,Y,2024-11-12,,Convicted,2025-07-14
UP2024025700066,Y,2025-01-31,,Pending Trial,
UP2025091400165,N,2025-03-28,A-Summary,,
UP2023121500161,N,2024-06-21,C-Summary,,
UP2025085400129,Y,2025-11-23,,Pending Trial,
UP2024108100139,N,2025-05-03,A-Summary,,
UP2025043400113,Y,2026-01-31,,,
UP2023141900106,Y,2023-04-22,,,
UP2024147600270,Y,2024-07-20,,,
UP2025112100014,Y,2025-07-02,,Pending Trial,
UP2023054600163,Y,2024-01-17,,,
UP2025097000139,Y,2025-11-02,,Convicted,2026-06-30
UP2023003900107,N,2024-02-17,A-Summary,,
UP2024045000113,Y,2025-02-06,,Pending Trial,
UP2023080300067,N,2023-11-17,A-Summary,,
UP2025121300159,Y,2025-12-25,,Pending Trial,
UP2025119800193,N,2025-12-25,C-Summary,,
UP2023109800093,N,2023-10-11,A-Summary,,
UP2024001900116,N,2024-12-01,A-Summary,,
UP2025149100260,Y,2025-06-24,,Pending Trial,
UP2024055000171,Y,2024-08-06,,,
UP2024128500030,N,2025-05-27,A-Summary,,
UP2025036500102,Y,2025-05-28,,Pending Trial,
UP2025107900197,N,2026-06-30,A-Summary,,
UP2024119700196,Y,2025-05-03,,Convicted,2026-06-30
UP2025114700158,N,2025-03-24,A-Summary,,
UP2023072800017,Y,2023-12-22,,Acquitted,2024-10-16
UP2025127500191,Y,2026-01-06,,,
UP2024149000189,N,2025-11-02,B-Summary,,
UP2023078900072,N,2023-11-25,A-Summary,,
UP2025046400148,N,2025-05-30,A-Summary,,
UP2025134500068,N,2026-06-30,A-Summary,,
UP2025048400024,N,2026-01-14,C-Summary,,
UP2024142100138,N,2024-05-09,C-Summary,,
UP2025049800053,Y,2025-08-02,,Convicted,2026-06-30
UP2025110300179,N,2025-08-27,A-Summary,,
UP2025096900087,Y,2025-12-24,,Pending Trial,
UP2024050100017,N,2025-02-09,C-Summary,,
UP2025035400030,N,2026-06-29,A-Summary,,
UP2024032600087,Y,2024-05-28,,Pending Trial,
UP2023043500091,N,2023-06-04,C-Summary,,
UP2023144800030,N,2024-03-22,A-Summary,,
UP2025043400114,Y,2025-06-15,,,
UP2023130000024,N,2024-03-05,B-Summary,,
UP2023140500122,N,2023-11-30,B-Summary,,
UP2024074000166,Y,2024-12-05,,Convicted,2025-08-14
UP2024099700101,N,2025-04-20,B-Summary,,
UP2025133600072,Y,2026-03-14,,,
UP2023097400082,Y,2023-06-12,,Pending Trial,
UP2025112400195,N,2026-06-30,A-Summary,,
UP2023148300119,N,2024-03-26,C-Summary,,
UP2023061500048,N,2023-12-04,A-Summary,,
UP2025016700051,N,2026-06-30,C-Summary,,
UP2023139700154,Y,2024-01-17,,Pending Trial,
UP2023109300113,N,2023-06-06,C-Summary,,
UP2024145800141,Y,2024-09-12,,,
UP2025015500160,N,2025-12-08,B-Summary,,
UP2025037500022,Y,2025-08-18,,Acquitted,2026-06-30
UP2025128800051,Y,2025-10-24,,Pending Trial,
UP2023106600082,Y,2024-02-20,,Pending Trial,
UP2024080800016,N,2025-05-22,B-Summary,,
UP2024081600144,N,2024-10-07,B-Summary,,
UP2025114600140,N,2025-07-21,A-Summary,,
UP2023126000062,Y,2023-03-26,,Pending Trial,
UP2025043000012,N,2026-03-05,C-Summary,,
UP2023044000022,Y,2023-06-28,,,
UP2023122800105,N,2024-01-27,A-Summary,,
UP2025003100179,Y,2025-07-30,,Pending Trial,
UP2024051600058,Y,2024-07-01,,Pending Trial,
UP2024015700166,N,2025-06-10,C-Summary,,
UP2025071000044,N,2025-12-14,B-Summary,,
UP2023096200103,Y,2023-07-18,,Pending Trial,
UP2024149200235,N,2025-07-25,B-Summary,,
UP2025103200027,Y,2026-02-28,,Pending Trial,
UP2023053000215,Y,2023-10-29,,Pending Trial,
UP2023048000108,Y,2023-12-24,,Convicted,2025-05-18
UP2024112200120,Y,2024-08-14,,Pending Trial,
UP2025054500204,N,2025-11-28,C-Summary,,
UP2024146100107,Y,2024-05-01,,Convicted,2025-01-26
UP2024034000017,Y,2024-11-24,,,
UP2023084800112,Y,2023-12-29,,Pending Trial,
UP2025034200022,Y,2025-08-23,,,
UP2024147000035,Y,2024-08-18,,Pending Trial,
UP2023133600042,N,2023-08-16,B-Summary,,
UP2024043500123,Y,2024-02-16,,,
UP2023104500079,Y,2023-05-31,,,
UP2024019700156,N,2025-04-17,C-Summary,,
UP2024123800062,Y,2024-11-26,,Pending Trial,
UP2025133000314,N,2025-12-04,B-Summary,,
UP2025089900118,N,2026-06-02,C-Summary,,
UP2024107900157,Y,2024-11-15,,,
UP2025046500165,N,2026-01-13,A-Summary,,
UP2024059100018,Y,2025-03-01,,Pending Trial,
UP2025081400183,N,2025-07-19,A-Summary,,
UP2024148000265,Y,2025-04-17,,Pending Trial,
UP2024054900268,N,2025-05-23,A-Summary,,
UP2024093100035,Y,2024-08-28,,Pending Trial,
UP2023068700121,Y,2024-02-08,,,
UP2023009800012,Y,2023-08-30,,Convicted,2024-08-12
UP2024114500145,N,2025-09-06,A-Summary,,
UP2024001900117,N,2024-11-20,A-Summary,,
UP2024056400148,Y,2025-04-17,,Pending Trial,
UP2023074500147,N,2024-03-02,B-Summary,,
UP2023145700083,N,2024-09-24,C-Summary,,
UP2023046200075,N,2024-02-03,A-Summary,,
UP2025116600132,N,2026-06-30,A-Summary,,
UP2025145000036,Y,2025-08-04,,Pending Trial,
UP2024012700026,Y,2024-12-02,,,
UP2023004200079,N,2024-08-07,A-Summary,,
UP2024081600145,Y,2024-12-15,,Pending Trial,
UP2024120200154,Y,2024-10-16,,,
UP2023083700098,N,2024-02-26,A-Summary,,
UP2024049200113,Y,2024-08-07,,Pending Trial,
UP2024085200113,N,2024-10-05,B-Summary,,
UP2023076900125,Y,2023-12-27,,Pending Trial,
UP2025004900195,Y,2026-01-26,,Convicted,2026-06-30
UP2025089500092,Y,2025-04-15,,Pending Trial,
UP2024006500099,N,2025-02-12,A-Summary,,
UP2023029900023,N,2023-06-19,A-Summary,,
UP2023139700155,Y,2023-11-04,,Pending Trial,
UP2025089300092,N,2026-03-16,A-Summary,,
UP2025148700285,N,2025-10-13,C-Summary,,
UP2023055300093,N,2024-02-01,A-Summary,,
UP2025127900260,Y,2026-02-28,,Pending Trial,
UP2024132600141,N,2025-03-25,C-Summary,,
UP2025063700051,Y,2025-04-24,,Pending Trial,
UP2023090000060,N,2024-09-06,B-Summary,,
UP2023083100091,Y,2024-03-02,,,
UP2025037900096,Y,2025-08-13,,Pending Trial,
UP2024095300108,N,2025-03-16,B-Summary,,
UP2024140300146,Y,2024-08-08,,,
UP2024052600210,N,2024-12-12,A-Summary,,
UP2024126000101,Y,2025-02-01,,,
UP2024009200044,N,2025-03-12,A-Summary,,
UP2025020600055,Y,2026-03-26,,,
UP2023002900103,N,2023-12-09,A-Summary,,
UP2024046000093,Y,2024-04-05,,Pending Trial,
UP2023091300099,Y,2023-09-11,,,
UP2023048100077,Y,2023-09-17,,,
UP2025091100085,Y,2025-07-31,,Pending Trial,
UP2025004700214,Y,2026-02-27,,,
UP2025114500191,Y,2025-05-15,,Pending Trial,
UP2023053900132,N,2023-08-08,A-Summary,,
UP2023003300103,N,2023-11-09,C-Summary,,
UP2025004000115,Y,2025-09-24,,Pending Trial,
UP2024038400084,N,2024-11-24,C-Summary,,
UP2025105000242,Y,2025-03-31,,Acquitted,2026-06-05
UP2023119700155,Y,2023-05-09,,Pending Trial,
UP2025029700131,Y,2025-05-26,,Pending Trial,
UP2023036700065,Y,2023-05-22,,,
UP2024149200236,N,2025-09-03,B-Summary,,
UP2025074100150,N,2026-06-30,C-Summary,,
UP2025084200172,N,2026-06-30,B-Summary,,
UP2025098100102,Y,2025-09-24,,Pending Trial,
UP2024068500136,N,2025-02-18,B-Summary,,
UP2024116700098,N,2024-06-09,A-Summary,,
UP2024108900109,Y,2024-12-05,,,
UP2024065600022,N,2024-05-07,A-Summary,,
UP2024083400109,Y,2024-10-30,,Pending Trial,
UP2023110500138,N,2023-12-22,B-Summary,,
UP2025108300254,Y,2025-10-05,,Pending Trial,
UP2024070500044,N,2024-11-06,C-Summary,,
UP2025060300196,N,2026-04-27,B-Summary,,
UP2025027600151,Y,2025-07-26,,,
UP2023095800068,N,2024-11-13,B-Summary,,
UP2023094900076,Y,2024-01-01,,,
UP2024055200203,N,2025-08-06,B-Summary,,
UP2024021200024,N,2024-10-01,C-Summary,,
UP2025031300101,N,2026-03-23,A-Summary,,
UP2025120200165,N,2025-06-12,B-Summary,,
UP2024016100105,N,2025-05-10,A-Summary,,
UP2024049700034,Y,2025-02-02,,Pending Trial,
UP2024054300209,N,2025-10-31,B-Summary,,
UP2024062900134,Y,2024-04-09,,Pending Trial,
UP2025088200025,Y,2025-09-14,,,
UP2025062800101,N,2025-07-28,A-Summary,,
UP2024111200086,Y,2024-05-04,,,
UP2025084300157,N,2026-05-02,B-Summary,,
UP2023084100156,N,2024-06-13,A-Summary,,
UP2025109300215,N,2025-04-19,C-Summary,,
UP2023000100087,N,2023-12-13,A-Summary,,
UP2024104600178,Y,2024-03-21,,Acquitted,2024-08-09
UP2025016300212,N,2026-01-27,A-Summary,,
UP2023103800007,Y,2023-04-09,,Convicted,2024-07-30
UP2023112000020,Y,2023-07-11,,Convicted,2024-11-19
UP2025044700135,Y,2025-12-27,,Pending Trial,
UP2024084700100,N,2025-04-29,A-Summary,,
UP2024122400110,N,2025-11-13,B-Summary,,
UP2024004200090,N,2025-09-17,C-Summary,,
UP2024049300140,Y,2024-08-27,,,
UP2023017300036,N,2024-04-08,B-Summary,,
UP2025094300103,N,2026-06-30,A-Summary,,
UP2025072400022,N,2025-08-09,C-Summary,,
UP2025107900198,N,2026-02-17,A-Summary,,
UP2023017500051,N,2024-06-29,C-Summary,,
UP2024052400046,N,2025-06-20,C-Summary,,
UP2023122400103,N,2024-07-22,A-Summary,,
